nombre,sociedad_y_razon,tipo,clase,plazo_categ,clave,liquidez,horario,rend_anual_brut_ultmes,rend_anual_brut_ult3mes,rend_anual_brut_ult12mes,rend_anual_brut_min,rend_anual_brut_max,rend_anual_net_ultmes,rend_anual_net_ult3mes,rend_anual_net_ult12mes,rend_anual_net_min,rend_anual_net_max,plazo_min
B+EDUCA,"Fondo Deuda Mercado 1, S.A. de C.V. Fondo de Inversión en Instrumentos de Deuda, administrado por BBVA Bancomer Gestión, S.A. de C.V. Sociedad Operadora de Fondos de Inversión, Grupo Financiero BBVA Bancomer.",Deuda,B,Corto Plazo Gubernamental - IDCPGUB,B+EDUCA,Diaria,8:30 a 13:30 hrs,4.10%,4.11%,4.59%,4.09%,5.59%,2.57%,2.57%,2.72%,2.26%,3.58%,Por lo menos un mes 
BBVAGOB,"Fondo BBVA Bancomer Deuda Caja, S.A. de C.V. Fondo de Inversión en Instrumentos de Deuda, administrado por BBVA Bancomer Gestión, S.A. de C.V. Sociedad Operadora de Fondos de Inversión, Grupo Financiero BBVA Bancomer.",Deuda,B,Corto Plazo Gubernamental - IDCPGUB,BBVAGOB,Diaria,8:30 a 14:00 horas,4.12%,4.12%,4.60%,4.10%,5.65%,1.66%,1.65%,1.78%,1.31%,2.71%,No aplica 
BBVAGB2,"Fondo BBVA Bancomer Empresas y Gobierno, S.A. de C.V. Fondo de Inversión en Instrumentos de Deuda, administrado por BBVA Bancomer Gestión, S.A. de C.V. Sociedad Operadora de Fondos de Inversión, Grupo Financiero BBVA Bancomer.",Deuda,B1,Corto Plazo gubernamental - IDCPGUB,BBVAGB2,Diaria,8:30 a 13:30 hrs,4.06%,4.02%,4.65%,3.92%,6.11%,1.24%,1.19%,1.40%,0.78%,2.74%,No aplica 
BBVAGUB,"Fondo Guber 1, S.A. de C.V. Fondo de Inversión en Instrumentos de Deuda, administrado por BBVA Bancomer Gestión, S.A. de C.V. Sociedad Operadora de Fondos de Inversión, Grupo Financiero BBVA Bancomer.",Deuda,C,Corto Plazo Gubernamental - IDCPGUB,BBVAGUB,Diaria,8:30 a 13:30 hrs,4.04%,4.05%,4.52%,4.03%,5.52%,1.33%,1.33%,1.56%,1.20%,2.53%,No aplica 
BBVADLP,"Fondo BBVA Bancomer Deuda Largo Plazo, S.A. de C.V. Fondo de Inversión en Instrumentos de Deuda, administrado por BBVA Bancomer Gestión, S.A. de C.V. Sociedad Operadora de Fondos de Inversión, Grupo Financiero BBVA Bancomer.",Deuda,C,Largo Plazo - IDLP,BBVADLP,Diaria,8:30 a 13:30 hrs,2.92%,-7.16%,3.73%,14.50%,15.35%,-0.81%,-10.77%,0.21%,10.63%,11.30%,No aplica 
BBVARF,"Fondo BBVA Bancomer Deuda 6, S.A. de C.V. Fondo de Inversión en Instrumentos de Deuda, administrado por BBVA Bancomer Gestión, S.A. de C.V. Sociedad Operadora de Fondos de Inversión, Grupo Financiero BBVA Bancomer.",Deuda,C1,Corto Plazo - IDCP,BBVARF,Diaria,8:30 a 13:30 hrs,4.79%,4.58%,4.96%,4.44%,5.42%,2.11%,1.88%,N.D.,1.47%,2.22%,No aplica 
BBVAPC,"Fondo BBVA Bancomer Deuda 11, S.A. de C.V., Fondo de Inversión en Instrumentos de Deuda, administrado por BBVA Bancomer Gestión, S.A. de C.V. Sociedad Operadora de Fondos de Inversión, Grupo Financiero BBVA Bancomer.",Deuda,C,Discrecional - IDDIS,BBVAPC,Diaria,8:30 a 13:30 hrs,4.65%,3.95%,5.07%,5.73%,9.08%,1.35%,0.95%,1.90%,2.44%,5.91%,No aplica 
BBVAMRF,"Fondo BBVA Bancomer Estrategia Selecta 3, S.A de C.V., Fondo de Inversión en Instrumentos de Deuda, administrado por BBVA Bancomer Gestión, S.A. de C.V. Sociedad Operadora de Fondos de Inversión, Grupo Financiero BBVA Bancomer.",Deuda,C,Discrecional - IDDIS,BBVAMRF,Diaria,8:30 a 13:30 hrs,9.62%,-0.17%,4.42%,7.98%,9.48%,6.50%,-3.89%,0.76%,4.24%,5.82%,No aplica 
BBVAPZO,"Fondo BBVA Bancomer Deuda Plazo, S.A. de C.V. Fondo de Inversión en Instrumentos de Deuda, administrado por BBVA Bancomer Gestión, S.A. de C.V. Sociedad Operadora de Fondos de Inversión, Grupo Financiero BBVA Bancomer.",Deuda,B,Mediano Plazo - IDMP,BBVAPZO,Diaria,8:30 a 13:30 hrs,3.58%,-2.00%,4.11%,10.97%,11.19%,0.58%,-4.97%,N.D.,N.D.,N.D.,No aplica 
BBVACOR,"Fondo BBVA Bancomer Deuda 7, S.A. de C.V. , Fondo de Inversión en Instrumentos de Deuda, administrado por BBVA Bancomer Gestión, S.A. de C.V. Sociedad Operadora de Fondos de Inversión, Grupo Financiero BBVA Bancomer.",Deuda,C,Discrecional - IDDIS,BBVACOR,permanencia,8:30 a 13:30 hrs,11.78%,-2.77%,4.92%,15.40%,17.31%,9.12%,-5.37%,1.98%,11.81%,14.19%,"Determinado por la diferencia de días entre la fecha de compra Mensual, liquidando el 2° día hábil después de la "
